gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,ao,at,ceq,dltt,intan,ivaeq,ivao,lct,lo,lt,mibn,ppent,pstk,teq,txditc,costat
001690,2010-09-30,2010,INDL,C,D,STD,AAPL,APPLE INC,USD,41678.0000,2263.0000,75183.0000,47791.0000,0.0000,1083.0000,0.0000,25391.0000,20722.0000,2370.0000,27392.0000,0.0000,4768.0000,0.0000,47791.0000,4300.0000,A
001690,2011-09-30,2011,INDL,C,D,STD,AAPL,APPLE INC,USD,44988.0000,3556.0000,116371.0000,76615.0000,0.0000,4432.0000,0.0000,55618.0000,27970.0000,3627.0000,39756.0000,0.0000,7777.0000,0.0000,76615.0000,8159.0000,A
001690,2012-09-30,2012,INDL,C,D,STD,AAPL,APPLE INC,USD,57653.0000,5478.0000,176064.0000,118210.0000,0.0000,5359.0000,0.0000,92122.0000,38542.0000,5465.0000,57854.0000,0.0000,15452.0000,0.0000,118210.0000,13847.0000,A
001690,2013-09-30,2013,INDL,C,D,STD,AAPL,APPLE INC,USD,73286.0000,5146.0000,207000.0000,123549.0000,16960.0000,5756.0000,0.0000,106215.0000,43658.0000,6344.0000,83451.0000,0.0000,16597.0000,0.0000,123549.0000,16489.0000,A
001690,2014-09-30,2014,INDL,C,D,STD,AAPL,APPLE INC,USD,68531.0000,3764.0000,231839.0000,111547.0000,28987.0000,8758.0000,0.0000,130162.0000,63448.0000,7598.0000,120292.0000,0.0000,20624.0000,0.0000,111547.0000,20259.0000,A
001690,2015-09-30,2015,INDL,C,D,STD,AAPL,APPLE INC,USD,89378.0000,5556.0000,290479.0000,119355.0000,53463.0000,9009.0000,0.0000,164065.0000,80610.0000,12989.0000,171124.0000,0.0000,22471.0000,0.0000,119355.0000,24062.0000,A
001690,2016-09-30,2016,INDL,C,D,STD,AAPL,APPLE INC,USD,106869.0000,8757.0000,321686.0000,128249.0000,75427.0000,8620.0000,0.0000,170430.0000,79006.0000,12985.0000,193437.0000,0.0000,27010.0000,0.0000,128249.0000,26019.0000,A
001690,2017-09-30,2017,INDL,C,D,STD,AAPL,APPLE INC,USD,128645.0000,10162.0000,375319.0000,134047.0000,97207.0000,8015.0000,0.0000,194714.0000,100814.0000,11747.0000,241272.0000,0.0000,33783.0000,0.0000,134047.0000,31504.0000,A
001690,2018-09-30,2018,INDL,C,D,STD,AAPL,APPLE INC,USD,131339.0000,22283.0000,365725.0000,107147.0000,93735.0000,,0.0000,170799.0000,116866.0000,47551.0000,258578.0000,0.0000,41304.0000,0.0000,107147.0000,426.0000,A
001690,2019-09-30,2019,INDL,C,D,STD,AAPL,APPLE INC,USD,162819.0000,32978.0000,338516.0000,90488.0000,91807.0000,,0.0000,105341.0000,105718.0000,44303.0000,248028.0000,0.0000,37378.0000,0.0000,90488.0000,6200.0000,A
001690,2020-09-30,2020,INDL,C,D,STD,AAPL,APPLE INC,USD,143713.0000,33952.0000,323888.0000,65339.0000,107049.0000,,0.0000,100887.0000,105392.0000,43308.0000,258549.0000,0.0000,45336.0000,0.0000,65339.0000,2800.0000,A
001690,2021-09-30,2021,INDL,C,D,STD,AAPL,APPLE INC,USD,134836.0000,38762.0000,351002.0000,63090.0000,119381.0000,,0.0000,127877.0000,125481.0000,43050.0000,287912.0000,0.0000,49527.0000,0.0000,63090.0000,,A
001690,2022-09-30,2022,INDL,C,D,STD,AAPL,APPLE INC,USD,135405.0000,44011.0000,352755.0000,50672.0000,109707.0000,,0.0000,120805.0000,153982.0000,38394.0000,302083.0000,0.0000,52534.0000,0.0000,50672.0000,,A
002136,2010-12-31,2010,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,22348.0000,3179.0000,220005.0000,38569.0000,45252.0000,100814.0000,3473.0000,2480.0000,30597.0000,34426.0000,133093.0000,48343.0000,87711.0000,0.0000,86912.0000,22818.0000,A
002136,2011-12-31,2011,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,30939.0000,3291.0000,230461.0000,35970.0000,50303.0000,102485.0000,3403.0000,1909.0000,30761.0000,38429.0000,144553.0000,49938.0000,88434.0000,0.0000,85908.0000,25060.0000,A
002136,2012-12-31,2012,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,21235.0000,2673.0000,225222.0000,33157.0000,47618.0000,107816.0000,3306.0000,1550.0000,26956.0000,40438.0000,139689.0000,52376.0000,88642.0000,0.0000,85533.0000,24677.0000,A
002136,2013-12-31,2013,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,70994.0000,3353.0000,274098.0000,38836.0000,89658.0000,106181.0000,3329.0000,1285.0000,27050.0000,33335.0000,178682.0000,56580.0000,88956.0000,0.0000,95416.0000,28639.0000,A
002136,2014-12-31,2014,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,29623.0000,3199.0000,232708.0000,12298.0000,110536.0000,105708.0000,677.0000,3554.0000,28064.0000,38854.0000,219032.0000,1378.0000,89947.0000,0.0000,13676.0000,41578.0000,A
002136,2015-12-31,2015,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,22280.0000,14805.0000,244640.0000,16428.0000,103705.0000,120244.0000,796.0000,2974.0000,35052.0000,42557.0000,226798.0000,1414.0000,83541.0000,0.0000,17842.0000,45484.0000,A
002136,2016-12-31,2016,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,26395.0000,3992.0000,244180.0000,22524.0000,105433.0000,122775.0000,1110.0000,5157.0000,30340.0000,38411.0000,220148.0000,1508.0000,84751.0000,0.0000,24032.0000,45964.0000,A
002136,2017-12-31,2017,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,29913.0000,4310.0000,257143.0000,43096.0000,113642.0000,127836.0000,1039.0000,5477.0000,33037.0000,34545.0000,212456.0000,1591.0000,88568.0000,0.0000,44687.0000,31232.0000,A
002136,2018-12-31,2018,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,34636.0000,5520.0000,264829.0000,53145.0000,105873.0000,128519.0000,671.0000,6197.0000,37930.0000,32521.0000,210119.0000,1565.0000,89286.0000,0.0000,54710.0000,33795.0000,A
002136,2019-12-31,2019,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,37473.0000,3875.0000,291727.0000,61395.0000,119105.0000,128946.0000,558.0000,6266.0000,44868.0000,30216.0000,228892.0000,1440.0000,114609.0000,0.0000,62835.0000,34703.0000,A
002136,2020-12-31,2020,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,54594.0000,8023.0000,316481.0000,67842.0000,141173.0000,130283.0000,187.0000,6030.0000,39660.0000,30665.0000,247209.0000,1430.0000,117364.0000,0.0000,69272.0000,35711.0000,A
